LEFT ARROW,Denon,12,-1,127
ZN2 VOL UP,Denon,12,-1,141
ZONE 2 VOL DOWN,Denon,12,-1,142
SOURCE TOGGLE,Denon,12,-1,144
ZONE 2 CD,Denon,12,-1,144
ZONE 2 IPOD,Denon,12,-1,144
ZONE2 MUSICSERVER,Denon,12,-1,147
SURR STEREO,Denon,12,-1,157
SURR DIRECT,Denon,12,-1,158
SYSTEM SETUP,Denon,12,-1,160
SURR PARAMETER,Denon,12,-1,161
UP ARROW,Denon,12,-1,163
DOWN ARROW,Denon,12,-1,164
SURR 5CH/7CH STEREO,Denon,12,-1,168
VIDEO OFF,Denon,12,-1,178
ZONE 2 DVD,Denon,12,-1,190
MODE,Denon,12,-1,216
SURR PUREDIRECT,Denon,2,-1,106
ZONE 2,Denon,2,-1,121
POWER ON ZN 2,Denon,2,-1,123
POWER OFF ZN 2,Denon,2,-1,124
PHONO,Denon,2,-1,195
CD,Denon,2,-1,196
IPOD,Denon,2,-1,196
TUNER,Denon,2,-1,197
DBS,Denon,2,-1,200
CABLE TV,Denon,2,-1,201
TV,Denon,2,-1,201
VDP,Denon,2,-1,202
MUSIC SERVER,Denon,2,-1,204
VIDEO AUX,Denon,2,-1,204
VCR 1,Denon,2,-1,205
VCR 2,Denon,2,-1,206
TAPE 1,Denon,2,-1,210
RIGHT ARROW,Denon,2,-1,221
ON SCREEN,Denon,2,-1,223
SELECT/ENTER,Denon,2,-1,224
POWER ON MAIN,Denon,2,-1,225
POWER OFF MAIN,Denon,2,-1,226
DVD,Denon,2,-1,227
SURR STANDARD,Denon,2,-1,228
MUTE,Denon,2,-1,240
VOLUME + MAIN,Denon,2,-1,241
VOLUME - MAIN,Denon,2,-1,242
SURROUND CINEMA,Denon,4,-1,149
ROOM EQ,Denon,4,-1,157
