DSL,Sony12,12,-1,49
SURROUND ON/OFF,Sony12,12,-1,63
SURROUND MODE,Sony12,12,-1,70
MODE,Sony12,12,-1,119
CURSOR UP,Sony12,12,-1,120
CURSOR DOWN,Sony12,12,-1,121
CURSOR LEFT,Sony12,12,-1,122
CURSOR RIGHT,Sony12,12,-1,123
TUNER PRESET +,Sony12,13,-1,16
TUNER PRESET -,Sony12,13,-1,17
TUNER INDEX +,Sony12,13,-1,80
TUNER INDEX -,Sony12,13,-1,81
TUNER SELECT,Sony12,13,-1,82
GEQ LINK,Sony12,13,-1,87
VOLUME +,Sony12,16,-1,18
VOLUME -,Sony12,16,-1,19
MUTE,Sony12,16,-1,20
POWER,Sony12,16,-1,21
VIDEO 2,Sony12,16,-1,30
PHONO,Sony12,16,-1,32
TUNER,Sony12,16,-1,33
VIDEO 1,Sony12,16,-1,34
TAPE,Sony12,16,-1,35
CD,Sony12,16,-1,37
DAT,Sony12,16,-1,70
GEQ ON/OFF,Sony12,18,-1,44
GEQ MODE,Sony12,18,-1,54
